wallet_address,times_received,total_grass_received,first_receipt,last_receipt,active_days
GTJ2S27UL7yZ3TdTwpKjfNcxeEZRkRPHjpj5Fubwb8Mk,661726,225522664.96061763,2025-01-01 00:05:37,2026-05-18 11:57:31,503
CK8i4zFXkDE2KWfyg7g9S748r6mwxajbcKcyGhQMR3qQ,11849,166141335.3594162,2025-07-04 09:00:19,2026-05-18 10:24:37,308
AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,12464,106789166.31209643,2025-01-03 09:57:43,2026-03-18 17:45:25,203
5BEYpX8vFT9FZx7doc8cdhzUXZh7Tbr3GR27tHYcZQjB,675170,91931863.36018205,2025-01-01 00:05:53,2026-05-18 11:56:51,498
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,5616,88939597.29241571,2025-01-01 08:02:26,2026-05-18 08:48:54,493
7AjmundYaTTcCu2ECnmsyAqqG4c5fWnJf3PYPCUUj8nN,13431,82973520.39170933,2025-01-01 00:11:57,2026-05-18 08:47:23,503
3vZUwZR1WUSBCH1zSGhEWZ7q2Pyh6emKRNypFCQVk8y5,8132,53077919.19014847,2025-01-01 01:14:55,2026-05-18 10:03:49,501
MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,152741,52338509.97311841,2025-01-01 00:28:56,2026-05-18 05:08:59,412
9obJYTe8cxyW2wrwcnHJGDb75GcqdTBoXen19c7jD2Xe,40,50740295.72551832,2026-03-04 18:37:38,2026-05-18 01:24:02,22
AzDByJsGm9gAVQPX8v8WS3iAs3PPdTwZZDDUNP2u5nVj,109835,49899860.80667844,2025-01-01 00:00:22,2025-06-11 10:31:00,162
HbN7z9deKKr6qwjzrxiNx2YG5LCUB6DzKrNRqnWbyCXi,1229037,45447539.33000614,2025-06-13 15:43:39,2026-05-18 11:59:52,273
6ZaWyb9PKP1ZGVsQcE9vjnGPCH6KiWE5XLUY7HdNEJ77,335000,40809465.79382318,2025-04-01 13:56:25,2026-05-18 10:47:02,413
4GQeEya6ZTwvXre4Br6ZfDyfe2WQMkcDz2QbkJZazVqS,72626,39709569.64248885,2025-01-01 00:33:30,2026-05-18 04:45:07,477
719UFbKT8dQH4AFR1oXcui9NUP221L2zCNFLFwVqht95,11,36385742.2241823,2025-10-15 21:33:42,2026-05-07 18:20:12,10
7WaHTt4JFGKMxthHUVmnZuLWiF5VVW5JUViqMXdaXq1V,260,36295860.927819334,2025-01-06 14:57:06,2025-04-07 11:38:59,26
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,6900,34872320.84134179,2025-01-01 00:28:06,2026-05-17 21:24:03,498
BSb68HCsLMsuq9BSTZHKhTfZSyTMhUfipgvwaUDjBmv1,7970,33395181.465271033,2025-01-01 01:04:58,2026-05-18 09:50:12,499
5s8yYn952CZLqcBKsoBosXkocg5fm3FPZhKkfK6FvcUz,13973,30464611.803656828,2025-01-01 01:04:23,2026-05-18 05:00:56,503
8ECv5rDApdbAW8iBFyxtDCJd7B9RyF5iNWKaLEYfu1xC,1053,28607835.365208507,2025-05-16 07:14:51,2026-05-18 11:50:12,267
9WYG8HLmWVtvj2N9oMyTu6CEMft4gmYF4xGFPLn4HWAA,14,26431582.73969873,2026-03-10 17:36:14,2026-05-05 15:23:49,4
2cBniUjRr8M9wbNp91SETKtJEdhuXb5fDi89sZYiN1DQ,58197,25844312.923174247,2025-01-01 00:29:18,2026-05-18 11:34:20,503
7vi5dyBk6s7nj3HPmSN35Ts2ZXkaKKwSbmF5MwdN94eL,73673,25257232.11260447,2025-01-01 00:28:55,2025-03-04 14:07:47,63
Gpxd7epFgNaUtf3Bj787a6eZHeFw1jbXk3p97MHJFc3C,8701,24714083.930328548,2025-01-01 01:37:58,2026-05-17 15:19:44,501
H13wk1NsagnoFDs3G6PiaCZCnd5k2UwsFosWXE5HUuVv,1059,24200961.6442282,2025-04-22 09:58:26,2026-05-18 10:23:58,290
9ZPsRWGkukYeWg2Z7eZ8NaTBZ1DSuBUVzLcGQWZgE4Y4,178277,24002746.542584043,2025-04-01 13:56:25,2026-05-18 08:34:03,413
B6qS5pbAHEChZVVFBuETjFQ9sKwL2hdPiSovnagJGMRi,983,23624459.33437338,2025-04-25 13:39:31,2026-05-18 10:23:42,281
F5gFTPKoKf2MnKQyJcXshB18yvchTcnccCMyJtskXsZo,1069,22464257.247965,2025-04-25 14:18:23,2026-05-17 11:23:14,297
6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,238061,21967360.04230674,2025-06-13 16:17:06,2026-05-18 11:58:52,273
BMnT51N4iSNhWU5PyFFgWwFvN1jgaiiDr9ZHgnkm3iLJ,72956,21657581.3763108,2025-06-11 11:06:36,2026-04-09 07:14:30,303
BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,5329,20507257.178169586,2025-01-01 08:02:22,2026-05-16 21:13:02,412
2xsAdSfxz5uCTThArrCjbPKW2UyDT6bEwBD5zvmepno8,51,20100363.964221407,2025-01-09 15:33:09,2025-12-15 18:24:51,24
2Xg37YZHcDcV92Wn3RRhVavBXSEPGY5z1FcesjMErj6Y,10918,19049293.862431094,2025-01-01 01:11:39,2026-05-18 10:12:15,502
6LXutJvKUw8Q5ue2gCgKHQdAN4suWW8awzFVC6XCguFx,77424,19031844.350690804,2025-01-01 00:02:58,2026-05-18 10:02:56,503
9nnLbotNTcUhvbrsA6Mdkx45Sm82G35zo28AqUvjExn8,77962,18758332.735770132,2025-01-01 00:02:48,2026-05-18 11:01:14,501
GGztQqQ6pCPaJQnNpXBgELr5cs3WwDakRbh1iEMzjgSJ,77396,18744712.153960805,2025-01-01 00:07:20,2026-05-18 11:43:51,501
6U91aKa8pmMxkJwBCfPTmUEfZi6dHe7DcFq2ALvB2tbB,77324,18653922.01170104,2025-01-01 00:19:46,2026-05-18 04:47:10,501
4xDsmeTWPNjgSVSS1VTfzFq3iHZhp77ffPkAmkZkdu71,77442,18570262.149536714,2025-01-01 00:05:37,2026-05-17 19:22:12,502
BQ72nSv9f3PRyRKCBnHLVrerrv37CYTHm5h3s9VSGQDV,77360,18519660.068619538,2025-01-01 00:41:00,2026-05-18 07:37:14,501
2MFoS3MPtvyQ4Wh4M9pdfPjz6UhVoNbFbGJAskCPCj3h,77293,18499339.032377608,2025-01-01 00:24:31,2026-05-18 09:18:30,501
CapuXNQoDviLvU1PxFiizLgPNQCxrsag1uMeyk6zLVps,77892,18414358.691404443,2025-01-01 00:01:50,2026-05-18 01:37:08,502
2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,989,17831445.443883516,2025-05-02 15:21:24,2026-05-17 06:49:57,282
81BgcfZuZf9bESLvw3zDkh7cZmMtDwTPgkCvYu7zx26o,590,16980720.560211588,2025-01-01 02:12:22,2026-04-26 17:45:23,157
6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,810,16488558.456045618,2025-09-26 12:47:01,2026-05-16 02:46:46,202
77DXFZnMebramt4dXfdwem1AjnfNnVnG8FkcVWpSwdjB,464,16328414.728036936,2025-01-02 06:31:35,2026-05-06 03:44:34,146
53AXjkQHZQEbHZvV55VHtcZtFzBzArLZZG5AF4ufkRhv,320,15942842.265971743,2025-01-02 18:27:24,2026-05-13 15:25:40,121
5uB6r9hXZj5RoomS3iUm5PtmPoTRgJsDqj1gkc2AGFS5,573,14159842.542012773,2025-02-18 12:07:22,2026-05-15 12:39:54,204
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,2918,13539045.369283982,2025-01-01 01:36:43,2026-03-12 17:15:04,205
BaZipPqSWweDWf2uYotqYMog9nyN1km72axBRU7dVzrB,7127,13286196.288621001,2025-01-01 00:37:05,2026-05-18 10:11:09,503
44P5Ct5JkPz76Rs2K6juC65zXMpFRDrHatxcASJ4Dyra,119,13123647.61122358,2025-05-19 06:42:31,2026-05-12 16:19:36,80
AEZoku1fLfUz5JYJ3kJ5YVdf3QT1T4RwdggGbuR8Eakd,850,12753120.485687705,2025-03-17 14:05:06,2026-05-18 09:55:32,79
